Latitude,Longitude,Timestamp
15.67135,74.457597,2025-03-24 10:36:41.500
15.67135,74.457595,2025-03-24 10:36:41.600
15.671352,74.45759,2025-03-24 10:36:41.700
15.671352,74.45759,2025-03-24 10:36:41.800
15.671348,74.457588,2025-03-24 10:36:41.900
15.671352,74.457582,2025-03-24 10:36:42.000
15.671345,74.45759,2025-03-24 10:36:42.100
15.671347,74.457585,2025-03-24 10:36:42.200
15.671348,74.457578,2025-03-24 10:36:42.300
15.671343,74.457583,2025-03-24 10:36:42.400
15.671342,74.457585,2025-03-24 10:36:42.500
15.67134,74.457585,2025-03-24 10:36:42.600
15.671342,74.45758,2025-03-24 10:36:42.700
15.67134,74.45758,2025-03-24 10:36:42.800
15.671338,74.457578,2025-03-24 10:36:42.900
15.671337,74.457577,2025-03-24 10:36:43.000
15.671338,74.457572,2025-03-24 10:36:43.100
15.671337,74.45757,2025-03-24 10:36:43.200
15.671337,74.457567,2025-03-24 10:36:43.300
15.671337,74.45756,2025-03-24 10:36:43.400
15.671338,74.457553,2025-03-24 10:36:43.500
15.671337,74.457552,2025-03-24 10:36:43.600
15.671337,74.457552,2025-03-24 10:36:43.700
15.671335,74.457552,2025-03-24 10:36:43.800
15.671333,74.45755,2025-03-24 10:36:43.900
15.671328,74.457555,2025-03-24 10:36:44.000
15.671328,74.457552,2025-03-24 10:36:44.100
15.671327,74.457553,2025-03-24 10:36:44.200
15.671325,74.457552,2025-03-24 10:36:44.300
15.671325,74.45755,2025-03-24 10:36:44.400
15.671323,74.457548,2025-03-24 10:36:44.500
15.671323,74.457547,2025-03-24 10:36:44.600
15.67132,74.457547,2025-03-24 10:36:44.700
15.67132,74.457545,2025-03-24 10:36:44.800
15.671318,74.457543,2025-03-24 10:36:44.900
15.671317,74.457542,2025-03-24 10:36:45.000
15.671313,74.457542,2025-03-24 10:36:45.100
15.671312,74.45754,2025-03-24 10:36:45.200
15.671308,74.457543,2025-03-24 10:36:45.300
15.671307,74.457543,2025-03-24 10:36:45.400
15.671305,74.457542,2025-03-24 10:36:45.500
15.671303,74.45754,2025-03-24 10:36:45.600
15.671302,74.45754,2025-03-24 10:36:45.700
15.6713,74.457538,2025-03-24 10:36:45.800
15.6713,74.457538,2025-03-24 10:36:45.900
15.671298,74.457537,2025-03-24 10:36:46.000
15.671302,74.457532,2025-03-24 10:36:46.100
15.6713,74.457532,2025-03-24 10:36:46.200
15.671298,74.45753,2025-03-24 10:36:46.300
15.671297,74.457528,2025-03-24 10:36:46.400
15.671297,74.457527,2025-03-24 10:36:46.500
15.671295,74.457525,2025-03-24 10:36:46.600
15.671295,74.457523,2025-03-24 10:36:46.700
15.671293,74.457523,2025-03-24 10:36:46.800
15.671293,74.457522,2025-03-24 10:36:46.900
15.671295,74.457513,2025-03-24 10:36:47.000
15.671293,74.457512,2025-03-24 10:36:47.100
15.671283,74.457522,2025-03-24 10:36:47.200
15.671282,74.457522,2025-03-24 10:36:47.300
15.67128,74.45752,2025-03-24 10:36:47.400
15.671277,74.457518,2025-03-24 10:36:47.500
15.671275,74.457518,2025-03-24 10:36:47.600
15.671273,74.457517,2025-03-24 10:36:47.700
15.671277,74.457505,2025-03-24 10:36:47.800
15.67127,74.457513,2025-03-24 10:36:47.900
15.671268,74.457513,2025-03-24 10:36:48.000
15.671267,74.45751,2025-03-24 10:36:48.100
15.671265,74.457508,2025-03-24 10:36:48.200
15.671265,74.457508,2025-03-24 10:36:48.300
15.671263,74.457505,2025-03-24 10:36:48.400
15.671263,74.457503,2025-03-24 10:36:48.500
15.671263,74.457502,2025-03-24 10:36:48.600
15.671262,74.4575,2025-03-24 10:36:48.700
15.671262,74.457497,2025-03-24 10:36:48.800
15.67126,74.457495,2025-03-24 10:36:48.900
15.67126,74.457492,2025-03-24 10:36:49.000
15.671258,74.45749,2025-03-24 10:36:49.100
15.671258,74.457488,2025-03-24 10:36:49.200
15.67126,74.45748,2025-03-24 10:36:49.300
15.671258,74.457478,2025-03-24 10:36:49.400
